query_id,router_dequeue_0,router_dequeue_1,router_enqueue_0,router_enqueue_1,router_recv_result_0,router_recv_result_1,worker_done_0,worker_done_1,worker_start_0,worker_start_1
227,1607205848130504,1607206100308261,1607205837869246,1607206099068861,1607205850009294,1607206101545936,1607205849378833,1607206101543082,1607205848143559,1607206100322600
228,1607205848130505,1607206101572663,1607205837881224,1607206100330959,1607205850009310,1607206102814458,1607205849378834,1607206102811561,1607205848143560,1607206101587142
229,1607205848130507,1607206102842522,1607205837892869,1607206101595302,1607205850009326,1607206104108040,1607205849378835,1607206104105184,1607205848143561,1607206102863500
23,1607205836663277,1607205840156688,1607205835456160,1607205838813827,1607205838670113,1607205841421748,1607205837936108,1607205841418975,1607205836670220,1607205840177347
230,1607205848130509,1607206104131388,1607205837905066,1607206102873992,1607205850009343,1607206105372976,1607205849378836,1607206105370421,1607205848143563,1607206104145645
231,1607205848130511,1607206105400842,1607205837916753,1607206104160201,1607205850009361,1607206106637286,1607205849378837,1607206106634448,1607205848143565,1607206105415145
232,1607205848130512,1607206106664060,1607205837928589,1607206105423421,1607205850009377,1607206107902001,1607205849378837,1607206107897039,1607205848143567,1607206106678471
233,1607205848130514,1607206107924564,1607205837940434,1607206106686312,1607205850009397,1607206109190410,1607205849378838,1607206109187830,1607205848143568,1607206107938794
234,1607205848130516,1607206109217926,1607205837952711,1607206107950117,1607205850009414,1607206110458292,1607205849378839,1607206110455566,1607205848143572,1607206109231846
235,1607205848130518,1607206110485479,1607205837965041,1607206109248592,1607205850009431,1607206111723602,1607205849378840,1607206111720898,1607205848143574,1607206110499410
236,1607205848130519,1607206111746718,1607205837977055,1607206110512311,1607205850009449,1607206112984077,1607205849378841,1607206112979525,1607205848143576,1607206111760787
237,1607205848130521,1607206113010823,1607205837989308,1607206111771374,1607205850009467,1607206114269388,1607205849378842,1607206114266620,1607205848143577,1607206113024831
238,1607205848130523,1607206114297057,1607205838001117,1607206113040674,1607205850009484,1607206115540766,1607205849378842,1607206115538059,1607205848143578,1607206114311194
