query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
52,10226.294,1.751,1280.796,22.6,14.254,1053.602,7.506,1240.996,25.206
53,10214.667,1.747,1280.796,22.633,14.405,1053.421,7.504,1240.995,25.229
54,11508.089,1.683,1247.875,22.044,13.713,1056.284,6.664,1238.521,18.898
55,11496.406,1.673,1247.875,25.191,12.315,1054.544,6.656,1238.521,36.84
56,11484.534,1.668,1247.876,25.228,14.098,1052.727,6.653,1238.52,36.868
57,11472.768,1.665,1247.877,25.26,14.433,1052.361,6.651,1238.522,36.891
58,12735.393,1.914,1303.313,24.899,13.085,1005.677,7.406,1239.5,19.598
59,12723.525,1.906,1303.313,28.071,11.418,1004.181,7.399,1239.498,32.872
60,12711.94,1.903,1303.311,28.11,13.08,1002.484,7.397,1239.497,32.909
61,12700.124,1.897,1303.312,28.141,13.398,1002.138,7.395,1239.496,32.942
62,14021.379,1.785,1295.162,18.897,13.511,966.004,7.536,1235.273,21.025
63,14009.474,1.774,1295.162,22.052,12.108,964.263,7.527,1235.272,36.093
64,13997.603,1.77,1295.162,22.092,12.26,964.076,7.523,1235.271,36.128
65,13985.738,1.766,1295.164,22.122,13.815,962.494,7.519,1235.271,36.156
66,15293.005,1.658,1292.202,21.702,13.269,926.425,10.416,1247.906,17.789
67,15281.214,1.648,1292.203,24.926,11.59,924.892,10.405,1247.906,34.405
68,15269.108,1.645,1292.202,24.97,11.91,924.532,10.402,1247.906,34.432
69,15257.507,1.64,1292.203,25.009,13.486,922.92,10.4,1247.904,34.459
70,16564.308,1.641,1281.35,22.895,14.079,909.254,7.532,1238.751,19.746
71,16552.351,1.631,1281.35,26.087,12.344,907.809,7.522,1238.749,35.187
72,16540.692,1.625,1281.351,26.125,14.187,905.931,7.52,1238.748,35.217
73,16528.892,1.622,1281.351,26.156,14.545,905.544,7.519,1238.747,35.243
74,17825.989,1.74,1288.567,19.38,14.128,877.804,6.99,1249.64,20.364
75,17814.254,1.731,1288.569,22.564,12.278,876.478,6.985,1249.635,40.796
76,17802.319,1.726,1288.569,22.602,12.718,876.003,6.982,1249.636,40.823
77,17788.992,1.723,1288.569,22.636,14.312,874.378,6.98,1249.635,40.847
78,19091.539,2.073,1244.455,22.451,13.405,903.807,9.54,1237.148,19.318
79,19079.791,2.063,1244.455,25.642,11.678,902.353,9.532,1237.147,39.087
80,19068.173,2.058,1244.455,25.679,13.01,900.991,9.526,1237.146,39.114
81,19056.686,2.054,1244.455,25.712,13.329,900.641,9.525,1237.145,39.136
82,20316.837,1.761,1280.571,21.675,13.695,882.118,8.047,1251.717,20.24
83,20304.982,1.75,1280.573,24.823,10.744,881.929,8.042,1251.716,34.627
84,20293.111,1.746,1280.573,24.861,14.338,878.299,8.041,1251.715,34.654
85,20281.147,1.741,1280.574,24.893,14.668,877.94,8.039,1251.714,34.679
86,21576.072,1.865,1283.665,21.637,15.285,864.626,7.527,1267.345,20.954
87,21564.34,1.857,1283.665,24.799,12.263,864.494,7.52,1267.345,39.176
88,21552.736,1.852,1283.665,24.837,12.547,864.175,7.518,1267.344,39.206
89,21540.355,1.848,1283.665,24.869,14.26,862.432,7.517,1267.343,39.231
90,22838.926,1.833,1280.849,19.11,13.319,875.693,7.701,1223.893,17.644
91,22827.003,1.824,1280.849,22.245,11.615,874.271,7.694,1223.891,27.225
92,22814.698,1.819,1280.848,22.285,13.106,872.744,7.692,1223.89,27.264
93,22802.938,1.814,1280.848,22.319,13.499,872.319,7.69,1223.89,27.295
94,24095.94,1.793,1244.882,22.127,13.186,862.695,6.72,1221.088,18.267
95,24083.717,1.781,1244.884,25.303,11.802,860.914,6.709,1221.088,30.566
96,24072.127,1.776,1244.884,25.342,12.954,859.727,6.706,1221.087,30.607
97,24060.456,1.773,1244.882,25.376,13.268,859.384,6.703,1221.086,30.64
98,25320.39,1.791,1265.623,22.738,13.733,827.177,7.101,1225.263,17.33
99,25308.578,1.781,1265.624,25.909,12.081,825.668,7.092,1225.264,37.715
